# TEST CASE PROPELLER DATA.
# ADV_RATIO defined as Vinf/(nD) where n: propeller rounds per second, D: propeller diameter.
# "Renard" definition of propeller coefficients:
# reference force = rho*n^2*D^4, reference power = rho*n^3*D^5.
# Propeller center in grid coordinates.
# Propeller axis versor pointing backward.
# Total thrust coefficient CT = 0.15.
# ----------------------------------------------------------------------------------------------- #
MARKER_ACTDISK= DISK DISK_BACK
CENTER= 0.0 0.0 0.0
AXIS= 1.0 0.0 0.0
RADIUS= 2.5146
RPM= 807.625
NROW= 37
# rs=r/R    dCT/drs     dCP/drs     dCR/drs
  0.2031   0.020066   0.0890674         0.0
  0.2235   0.019963   0.0932674         0.0
  0.2439   0.021707   0.0982980         0.0
  0.2644   0.024667   0.1064153         0.0
  0.2848   0.029147   0.1189045         0.0
  0.3257   0.043674   0.1588513         0.0
  0.3461   0.053380   0.1849900         0.0
  0.3665   0.064327   0.2145367         0.0
  0.3870   0.076521   0.2471873         0.0
  0.4278   0.103679   0.3203392         0.0
  0.4483   0.118918   0.3609085         0.0
  0.4687   0.135619   0.4051864         0.0
  0.4891   0.152986   0.4518863         0.0
  0.5096   0.171453   0.5011266         0.0
  0.5300   0.190755   0.5528521         0.0
  0.5504   0.211062   0.6072281         0.0
  0.5709   0.231313   0.6620508         0.0
  0.5913   0.251252   0.7161404         0.0
  0.6117   0.271376   0.7700722         0.0
  0.6322   0.290980   0.8219708         0.0
  0.6526   0.309848   0.8715231         0.0
  0.6730   0.328502   0.9202496         0.0
  0.6935   0.346774   0.9681596         0.0
  0.7139   0.364895   1.0156277         0.0
  0.7343   0.381991   1.0603740         0.0
  0.7548   0.398417   1.1036331         0.0
  0.7752   0.413550   1.1442054         0.0
  0.7956   0.427447   1.1820164         0.0
  0.8161   0.440093   1.2163819         0.0
  0.8365   0.451007   1.2453084         0.0
  0.8569   0.460535   1.2682212         0.0
  0.8774   0.467765   1.2823500         0.0
  0.8978   0.471296   1.2839416         0.0
  0.9182   0.470303   1.2701343         0.0
  0.9387   0.460921   1.2317719         0.0
  0.9591   0.434937   1.1470356         0.0
  0.9795   0.377288   0.9746048         0.0

# More than one propeller data can be appended here.
