V1,V2
1.38626e-09,29911.4,
2.70785e-09,29911.4,
6.02756e-09,29911.4,
1.06750e-08,29755.9,
1.95335e-08,29652.2,
3.69297e-08,29237.5,
7.21367e-08,28719.1,
1.15832e-07,27837.8,
1.82983e-07,26697.3,
2.45511e-07,25660.5,
3.29405e-07,24623.7,
4.41967e-07,23379.6,
5.92993e-07,21979.9,
8.35576e-07,20683.9,
1.12110e-06,19439.8,
1.50420e-06,18454.8,
2.11954e-06,17418.1,
3.45945e-06,15966.6,
5.20370e-06,14877.9,
9.52190e-06,13685.6,
2.05143e-05,12389.6,
4.64159e-05,11145.5,
9.36766e-05,10316.1,
0.000192171,9642.14,
0.000434808,8968.23,
0.000967867,8346.15,
