V1,V2
1.21648e-09,1244.15,
2.01820e-09,1244.15,
2.89063e-09,1399.67,
5.11941e-09,1555.18,
7.57587e-09,1814.38,
1.21648e-08,2177.26,
1.92171e-08,2799.33,
2.45511e-08,3214.05,
3.24070e-08,3732.44,
4.71801e-08,4510.03,
6.33021e-08,5546.82,
8.35576e-08,6635.45,
1.06750e-07,7672.24,
1.36380e-07,9071.91,
1.80019e-07,10886.3,
2.45511e-07,12804.3,
3.08576e-07,14463.2,
4.14020e-07,16277.6,
5.37646e-07,17625.4,
7.09682e-07,18558.5,
9.21593e-07,18765.9,
1.12110e-06,18714.0,
1.45586e-06,18247.5,
1.92171e-06,17418.1,
2.70785e-06,16433.1,
4.79569e-06,15033.4,
9.21593e-06,13633.8,
1.52896e-05,12648.8,
2.57838e-05,11871.2,
4.87465e-05,10990.0,
9.21593e-05,10316.1,
0.000157973,9745.82,
0.000387840,8968.23,
0.000936766,8242.47,
