VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -2.476826549,      -5.476390902,      -13.70688113,      -15.68734132,       3.876004886,      -6.160047398,      0.5532975088,   1.025516477e-13,                 0,                 0,                 0,   4.922271246e-15,      0.5532975088,   1.025516477e-13,                 0,    1.85346303e-13
          0,           0,           1,      -2.493252216,      -5.492816494,       1.048312669,      0.2226051879,       5.011324034,       -3.62651606,      0.5523257817,   1.232972058e-13,                 0,                 0,                 0,   3.857155372e-15,      0.5523257817,   1.232972058e-13,                 0,   2.232327548e-13
          0,           0,           2,      -2.494831583,      -5.494395871,       1.048454773,      0.2241144259,       5.011756737,      -3.626955966,      0.5515364222,   1.368592739e-13,                 0,                 0,                 0,   3.917876994e-15,      0.5515364222,   1.368592739e-13,                 0,   2.481418605e-13
          0,           0,           3,      -2.496060891,       -5.49562519,       1.048475391,      0.2252319544,       5.012050224,      -3.627484846,      0.5508812628,   1.474428218e-13,                 0,                 0,                 0,   3.941297031e-15,      0.5508812628,   1.474428218e-13,                 0,    2.67649005e-13
          0,           0,           4,      -2.497023355,      -5.496587666,       1.048414797,      0.2260461993,       5.012226345,      -3.628120684,      0.5503279927,   1.556081652e-13,                 0,                 0,                 0,   3.934357873e-15,      0.5503279927,   1.556081652e-13,                 0,   2.827553156e-13
          0,           0,           5,      -2.497780533,      -5.497344857,       1.048301094,      0.2266281507,        5.01229942,       -3.62888516,      0.5498499425,   1.617560252e-13,                 0,                 0,                 0,   3.892725436e-15,      0.5498499425,   1.617560252e-13,                 0,   2.941821263e-13
          0,           0,           6,      -2.498378431,      -5.497942769,       1.048150658,      0.2270284314,       5.012277909,      -3.629804427,      0.5494246741,   1.662385507e-13,                 0,                 0,                 0,   3.831132773e-15,      0.5494246741,   1.662385507e-13,                 0,   3.025684112e-13
          0,           0,           7,      -2.498851973,      -5.498416325,       1.047972546,      0.2272834332,       5.012165423,      -3.630910068,       0.549032834,   1.692378876e-13,                 0,                 0,                 0,   3.732260126e-15,       0.549032834,   1.692378876e-13,                 0,    3.08247298e-13
          0,           0,           8,      -2.499227966,      -5.498792332,       1.047770991,      0.2274192007,       5.011961295,      -3.632240272,      0.5486571949,   1.710038361e-13,                 0,                 0,                 0,   3.601269922e-15,      0.5486571949,   1.710038361e-13,                 0,   3.116770138e-13
          0,           0,           9,      -2.499527163,      -5.499091545,        1.04754685,      0.2274539661,       5.011660826,      -3.633841287,      0.5482818273,   1.715953768e-13,                 0,                 0,                 0,   3.436488953e-15,      0.5482818273,   1.715953768e-13,                 0,   3.129692947e-13
          0,           0,          10,      -2.499765733,       -5.49933013,        1.04729842,      0.2273998271,       5.011255282,      -3.635769218,       0.547891354,   1.710871028e-13,                 0,                 0,                 0,   3.226594083e-15,       0.547891354,   1.710871028e-13,                 0,   3.122646517e-13
          0,           0,          11,      -2.499956334,      -5.499520745,       1.047021874,      0.2272638504,       5.010731657,      -3.638092286,      0.5474702449,   1.694772794e-13,                 0,                 0,                 0,   2.970717288e-15,      0.5474702449,   1.694772794e-13,                 0,   3.095643663e-13
          0,           0,          12,      -2.500108916,      -5.499673343,       1.046711425,      0.2270487627,       5.010072207,      -3.640893653,      0.5470021107,   1.667381511e-13,                 0,                 0,                 0,   2.651539921e-15,      0.5470021107,   1.667381511e-13,                 0,   3.048217691e-13
          0,           0,          13,      -2.500231329,       -5.49979577,       1.046359318,      0.2267532968,       5.009253722,      -3.644275029,      0.5464689537,   1.627951246e-13,                 0,                 0,                 0,   2.262094262e-15,      0.5464689537,   1.627951246e-13,                 0,   2.979037025e-13
          0,           0,          14,      -2.500329781,      -5.499894237,       1.045955659,      0.2263722818,       5.008246505,      -3.648361275,      0.5458503258,   1.574747277e-13,                 0,                 0,                 0,   1.785901524e-15,      0.5458503258,   1.574747277e-13,                 0,   2.884943367e-13
          0,           0,          15,      -2.500409187,      -5.499973658,        1.04548794,      0.2258966332,       5.007012948,      -3.653306389,      0.5451223323,   1.505792019e-13,                 0,                 0,                 0,   1.203888643e-15,      0.5451223323,   1.505792019e-13,                 0,   2.762301102e-13
          0,           0,          16,      -2.500473448,      -5.500037934,       1.044940562,      0.2253128701,       5.005505618,       -3.65930136,      0.5442564006,   1.417910928e-13,                 0,                 0,                 0,   4.952772902e-16,      0.5442564006,   1.417910928e-13,                 0,   2.605226004e-13
          0,           0,          17,      -2.500525666,      -5.500090166,       1.044294058,      0.2246024058,       5.003664628,      -3.666584652,      0.5432176976,    1.30723557e-13,                 0,                 0,                 0,  -3.885837496e-16,      0.5432176976,    1.30723557e-13,                 0,   2.406467196e-13
          0,           0,          18,      -2.500568311,      -5.500132825,       1.043524016,      0.2237404622,       5.001414031,      -3.675456437,      0.5419630242,   1.168839331e-13,                 0,                 0,                 0,  -1.473644496e-15,      0.5419630242,   1.168839331e-13,                 0,   2.156677262e-13
          0,           0,          19,      -2.500603357,      -5.500167884,       1.042599558,      0.2226944621,       4.998656783,      -3.645779417,      0.5405917422,   1.020798029e-13,                 0,                 0,                 0,  -2.633310078e-15,      0.5405917422,   1.020798029e-13,                 0,   1.888297489e-13
          0,           0,          20,      -2.500640142,      -5.500204683,       1.041595492,      0.2215514673,       4.995630708,      -3.523646922,      0.5391640098,   5.263844916e-14,                 0,                 0,                 0,  -5.982178078e-15,      0.5391640098,   5.263844916e-14,                 0,   9.762975309e-14
          0,           0,          21,      -2.501005225,      -5.500569778,       1.040820527,      0.2209042069,       4.993193788,      -3.530754021,      0.5374069261,   9.732839534e-14,                 0,                 0,                 0,  -2.859692709e-15,      0.5374069261,   9.732839534e-14,                 0,   1.811074451e-13
          0,           0,          22,      -2.501435097,      -5.500999662,       1.039881534,       0.220123338,       4.990249827,      -3.539336253,      0.5352245814,   7.745019903e-14,                 0,                 0,                 0,  -4.356752345e-15,      0.5352245814,   7.745019903e-14,                 0,   1.447059827e-13
          0,           0,          23,      -2.501920139,      -5.501484715,       1.038731308,      0.2191658165,       4.986693164,      -3.549711069,      0.5329632013,  -3.582724395e-14,                 0,                 0,                 0,  -1.368175733e-14,      0.5329632013,  -3.582724395e-14,                 0,  -6.722273482e-14
