"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
9900, 0.000000000000000e+00, 3.800000000000000e-02, 5.797302569653536e-02, 4.229849020059333e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.408026888890694e+04, 6.957436740958683e-01, 9.992709083195942e-01, 7.290916804057786e-04, 5.066290429039340e+03, 2.940103496802095e+02, 2.994319010525942e+02, 0.000000000000000e+00, 1.187454337123150e-01, 1.792364003756781e-05, 5.302082859424763e-03, 8.413324494406829e-05, 8.061391215515384e+04, 1.854539665305086e-01
9901, -1.205661472926571e-03, 3.798086861056103e-02, 6.327578038317293e-02, 4.606033627215222e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.536429824353741e+04, 7.345912814714511e-01, 9.992725995367661e-01, 7.274004632339733e-04, 5.529589983542966e+03, 2.940054576269316e+02, 2.985578984953463e+02, 0.000000000000000e+00, 1.316451781320302e-01, 1.792345131297431e-05, 3.622002604220695e-03, 1.149765435731465e-04, 7.176779229557674e+04, 1.601692878137972e-01
9902, -2.410108946949451e-03, 3.792349370593161e-02, 7.053375601523779e-02, 5.114533637966754e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.711993960736023e+04, 8.264210575096916e-01, 9.992754068448026e-01, 7.245931551974259e-04, 6.163822377277326e+03, 2.940055406413862e+02, 2.987997421063483e+02, 0.000000000000000e+00, 1.493042406162214e-01, 1.792344948320255e-05, 3.567669367728496e-03, 2.267320603316503e-04, 7.552279033804502e+04, 1.679595206140017e-01
9903, -3.612129645558941e-03, 3.782793305777721e-02, 7.811192210849391e-02, 5.641752085212369e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.895180442681901e+04, 9.284072088227020e-01, 9.992782561185303e-01, 7.217438814696708e-04, 6.826037405604869e+03, 2.940060213157545e+02, 2.991766547784209e+02, 0.000000000000000e+00, 1.677424293286454e-01, 1.792346267582304e-05, 3.655464207943123e-03, 3.490545098941471e-04, 8.089658560156127e+04, 1.791392190455837e-01
9904, -4.810513235802472e-03, 3.769428288757022e-02, 8.622539820045655e-02, 6.202079524067338e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.091168544510523e+04, 1.041128306370618e+00, 9.992812301496262e-01, 7.187698503737386e-04, 7.535027887357694e+03, 2.940066301744947e+02, 2.995929191587493e+02, 0.000000000000000e+00, 1.874829965744330e-01, 1.792348051341442e-05, 3.771539376744041e-03, 4.813207388847714e-04, 8.683320745784487e+04, 1.915160423156806e-01
9905, -6.004053046987297e-03, 3.752267776970298e-02, 9.494356594888261e-02, 6.799336685943463e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.301601244438993e+04, 1.165494251310994e+00, 9.992843674248785e-01, 7.156325751215106e-04, 8.296854532140545e+03, 2.940073113610987e+02, 3.000303299631923e+02, 0.000000000000000e+00, 2.086946919328646e-01, 1.792350080710299e-05, 3.889597811171894e-03, 6.223796641874576e-04, 9.314829486738287e+04, 2.045516591516181e-01
9906, -7.191547285695588e-03, 3.731329049598285e-02, 1.043000121176840e-01, 7.434677816934038e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.527250570692747e+04, 1.302392794998323e+00, 9.992876911632720e-01, 7.123088367280413e-04, 9.114450773132243e+03, 2.940080527983026e+02, 3.004836378153414e+02, 0.000000000000000e+00, 2.314591915849581e-01, 1.792352305715832e-05, 4.002586013020107e-03, 7.714352230821487e-04, 9.979720090939359e+04, 2.180942824962286e-01
9907, -8.371800245888544e-03, 3.706633190164547e-02, 1.143178631952397e-01, 8.108398511703262e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.768631362777869e+04, 1.452734270250343e+00, 9.992912173834152e-01, 7.087826165847391e-04, 9.989836083103195e+03, 2.940088530924718e+02, 3.009506089380011e+02, 0.000000000000000e+00, 2.558327241248219e-01, 1.792354718222082e-05, 4.108003594127948e-03, 9.278335280299164e-04, 1.067690912083888e+05, 2.320838067983338e-01
9908, -9.543623512881010e-03, 3.678205065306154e-02, 1.250163507955759e-01, 8.820399121040112e-05, 0.000000000000000e+00, 0.000000000000000e+00, 3.026160152001762e+04, 1.617441489442823e+00, 9.992949577946165e-01, 7.050422053835353e-04, 1.092468954197538e+04, 2.940097135593444e+02, 3.014299030648544e+02, 0.000000000000000e+00, 2.818620405187438e-01, 1.792357321143374e-05, 4.204487492152023e-03, 1.090913773900108e-03, 1.140611538772615e+05, 2.464805854083298e-01
9909, -1.070583715997433e-02, 3.646073299735090e-02, 1.364120271502262e-01, 9.570270798170888e-05, 0.000000000000000e+00, 0.000000000000000e+00, 3.300184582130955e+04, 1.797458215777970e+00, 9.992989209616107e-01, 7.010790383893744e-04, 1.192045601148131e+04, 2.940106361265061e+02, 3.019202543888241e+02, 0.000000000000000e+00, 3.095873703479747e-01, 1.792360120274516e-05, 4.290976444864856e-03, 1.259944364786823e-03, 1.216717164438200e+05, 2.612467546373297e-01
9910, -1.185727093654251e-02, 3.610270247415592e-02, 1.485190856039498e-01, 1.035732190940912e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.590991290283728e+04, 1.993731496780914e+00, 9.993031128637160e-01, 6.968871362839070e-04, 1.297837413463521e+04, 2.940116227113331e+02, 3.024204901768826e+02, 0.000000000000000e+00, 3.390432014037400e-01, 1.792363121830003e-05, 4.366495209735294e-03, 1.434095322421047e-03, 1.295983119794150e+05, 2.763410084751007e-01
9911, -1.299676544637541e-02, 3.570831958986452e-02, 1.613489208969892e-01, 1.118055615862726e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.898795570318380e+04, 2.207198823597344e+00, 9.993075371080102e-01, 6.924628919897591e-04, 1.409943791921364e+04, 2.940126750096439e+02, 3.029294376960024e+02, 0.000000000000000e+00, 3.702572100482214e-01, 1.792366331603847e-05, 4.430107478085891e-03, 1.612427256623360e-03, 1.378369890134030e+05, 2.917166954334895e-01
9912, -1.412317331509245e-02, 3.527798145461076e-02, 1.749091481922026e-01, 1.203861977829351e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.223718180947559e+04, 2.438774076161513e+00, 9.993121949492553e-01, 6.878050507447567e-04, 1.528431103648546e+04, 2.940137944374509e+02, 3.034458497539163e+02, 0.000000000000000e+00, 4.032478750165343e-01, 1.792369754744939e-05, 4.480929056877130e-03, 1.793893388269202e-03, 1.463819339735298e+05, 3.073211282378695e-01
9913, -1.523536034545132e-02, 3.481212138241865e-02, 1.892024110974525e-01, 1.292974208496541e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.565757323609990e+04, 2.689306853582056e+00, 9.993170852264445e-01, 6.829147735555096e-04, 1.653322269680270e+04, 2.940149821912921e+02, 3.039684977731667e+02, 0.000000000000000e+00, 4.380215782594726e-01, 1.792373395997393e-05, 4.518175364845607e-03, 1.977358088327478e-03, 1.552253327511384e+05, 3.230960671494257e-01
9914, -1.633220665938852e-02, 3.431120845489161e-02, 2.042258377099168e-01, 1.385172804303885e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.924776524795473e+04, 2.959587544067562e+00, 9.993222043030111e-01, 6.777956969889938e-04, 1.784592017111040e+04, 2.940162394508732e+02, 3.044962276355363e+02, 0.000000000000000e+00, 4.745712829901785e-01, 1.792377260480497e-05, 4.541225218884167e-03, 2.161632658877382e-03, 1.643578927586201e+05, 3.389798233149935e-01
9915, -1.741260782564159e-02, 3.377574704888709e-02, 2.199710381338042e-01, 1.480199322280533e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.300505768198104e+04, 3.250323447255255e+00, 9.993275460401814e-01, 6.724539598186437e-04, 1.922166865515882e+04, 2.940175678066474e+02, 3.050279317598324e+02, 0.000000000000000e+00, 5.128765299033753e-01, 1.792381355316727e-05, 4.549708099290001e-03, 2.345537546198938e-03, 1.737701688007306e+05, 3.549113409834550e-01
9916, -1.847547597181781e-02, 3.320627632865183e-02, 2.364269880023909e-01, 1.577778974921769e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.692612068393387e+04, 3.562207952571913e+00, 9.993331020410716e-01, 6.668979589283643e-04, 2.065950332677844e+04, 2.940189696846531e+02, 3.055627910944168e+02, 0.000000000000000e+00, 5.529104552577178e-01, 1.792385691201268e-05, 4.543524337265581e-03, 2.527949050646482e-03, 1.834548559805900e+05, 3.708347697232757e-01
