"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 0.000000000000000e+00, -3.800000000000000e-02, 6.435933481670506e-06, 9.070103832858972e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.070993376597489e+05, 2.566407442649817e-01, 7.090734627239185e-04, 9.992909265372760e-01, 1.562025495412815e+03, 2.900170916956823e+02, 1.038732928037643e+03, 0.000000000000000e+00, 2.117546718993419e-02, 1.826205886998192e-05, 5.642983363485098e-02, -9.016051884527447e-04, 2.570183016362465e+06, 2.348728974117222e-01
100, -9.998723848821905e-07, -3.799998402458288e-02, 4.171876083799833e-02, 1.695075675175950e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.832267794541301e+05, 3.603002065216926e-01, 7.110806863917583e-01, 2.889193136082417e-01, 6.668165707398035e+03, 2.970981310680551e+02, 2.909879254177213e+02, 0.000000000000000e+00, 1.633467752897451e-01, 1.841198248933454e-05, 4.419514973309378e-02, -7.061260638486566e-04, 8.139071935453968e+05, 5.127528633408459e-01
200, -2.228943520957580e-06, -3.799996438715279e-02, 3.043771749442949e-02, 6.936387565973596e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.415345531688404e+05, 4.920753948181428e-01, 8.144065910136662e-01, 1.855934089863338e-01, 3.873686694942099e+03, 2.945436730112895e+02, 3.075126645155251e+02, 0.000000000000000e+00, 8.553952359583526e-02, 1.820747119921976e-05, 3.371413506880572e-02, -5.386661122579008e-04, 4.476350206534922e+05, 3.536741649616769e-01
300, -3.739745712952309e-06, -3.799994024837712e-02, 3.441110275021925e-02, 4.797890318666442e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.699801065644308e+05, 5.487274117735392e-01, 8.776329116578664e-01, 1.223670883421337e-01, 3.843401517043393e+03, 2.942570857078955e+02, 3.071308375336230e+02, 0.000000000000000e+00, 8.469628718258750e-02, 1.811967963150280e-05, 2.745473884139030e-02, -4.386568840972166e-04, 2.693070421451712e+05, 3.215057178556935e-01
400, -5.596848353750862e-06, -3.799991057660124e-02, 3.782025529794392e-02, 3.317884143481763e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.206056036490105e+05, 5.826349337747817e-01, 9.193477345224640e-01, 8.065226547753609e-02, 3.881389131066714e+03, 2.941632099025576e+02, 3.061750787310302e+02, 0.000000000000000e+00, 8.575398410297555e-02, 1.805832436858637e-05, 2.303193502320055e-02, -3.679917302370719e-04, 1.912530066593288e+05, 2.963375500680277e-01
500, -7.879614376206170e-06, -3.799987410380738e-02, 4.087708491240843e-02, 2.231011893699381e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.446768205848374e+04, 6.098822676543334e-01, 9.482461055115919e-01, 5.175389448840798e-02, 3.957832182036193e+03, 2.941143279570547e+02, 3.052934813313186e+02, 0.000000000000000e+00, 8.788240363324261e-02, 1.801276021747754e-05, 1.977724075437038e-02, -3.159899954653953e-04, 1.559089886210283e+05, 2.760553024611364e-01
600, -1.068558706023560e-05, -3.799982927150206e-02, 4.357265366374270e-02, 1.433241677468854e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.804108396051437e+04, 6.327296595988324e-01, 9.681543569658430e-01, 3.184564303415702e-02, 4.053494080429732e+03, 2.940879209972671e+02, 3.045517928432673e+02, 0.000000000000000e+00, 9.054593747001378e-02, 1.797978296937700e-05, 1.729180279577812e-02, -2.762790197483035e-04, 1.398178132476082e+05, 2.589757769130210e-01
700, -1.413465090548700e-05, -3.799977416423595e-02, 4.593014005116115e-02, 8.709493574555110e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.951481172363112e+04, 6.521671017240953e-01, 9.813904041880025e-01, 1.860959581199745e-02, 4.160919140485492e+03, 2.940744783484157e+02, 3.039401101879776e+02, 0.000000000000000e+00, 9.353699542705533e-02, 1.795713544211777e-05, 1.533505116131613e-02, -2.450151064191570e-04, 1.324915405829278e+05, 2.442166035226301e-01
800, -1.837414281844051e-05, -3.799970642794011e-02, 4.799824631868485e-02, 4.994763225592681e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.738713481888676e+04, 6.689350112304264e-01, 9.897010355258518e-01, 1.029896447414824e-02, 4.276500214442339e+03, 2.940688542977720e+02, 3.034333406016231e+02, 0.000000000000000e+00, 9.675514295019927e-02, 1.794265315136442e-05, 1.374194252318004e-02, -2.195612831230722e-04, 1.289393969035281e+05, 2.311607296176315e-01
900, -2.358512965267121e-05, -3.799962316962684e-02, 4.983986985490830e-02, 2.737292111026454e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.014475632224534e+04, 6.837238095325843e-01, 9.945378257358430e-01, 5.462174264156962e-03, 4.397821377368587e+03, 2.940681840249193e+02, 3.030058701056987e+02, 0.000000000000000e+00, 1.001331129465831e-01, 1.793418958099062e-05, 1.240015604959984e-02, -1.981229486762146e-04, 1.268204049940399e+05, 2.193644286034116e-01
