"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 0.000000000000000e+00, 3.800000000000000e-02, 4.250670422593124e-06, 6.840005868798833e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.315510604345194e+05, 7.929461926964391e-03, 6.201716225450064e-04, 9.979549379607082e-01, 1.151554140561881e+03, 2.830353022668883e+02, 5.000000000000000e+01, 0.000000000000000e+00, 9.746629156916257e-03, 1.793808160019089e-05, inf, inf, 4.516867807097326e+13, 2.055723939999667e-01
1, -1.195129559235031e-06, 3.799998103573055e-02, 2.900084464984614e-02, 2.476987516647573e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.453906800294506e+05, 3.452549630880196e-02, 5.394148881649180e-01, 4.607189757438451e-01, 7.027920699181128e+03, 3.012533646402470e+02, 5.000000000000000e+01, 0.000000000000000e+00, 1.733635072347838e-01, 1.870194358603812e-05, inf, inf, -3.553815831252004e+15, 4.736970770874774e-01
2, -2.781960192270627e-06, 3.799995585596369e-02, 2.225478623059609e-02, 8.242353174013011e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.840119099364738e+05, 5.450574609534988e-01, 7.297335640349494e-01, 2.702664359650507e-01, 3.407274418785518e+03, 2.963363787370259e+02, 3.195348533801734e+02, 0.000000000000000e+00, 7.255311102938314e-02, 1.836454590223766e-05, inf, inf, -3.589263212126130e+14, 3.121671293600546e-01
3, -4.789488887504660e-06, 3.799992400057630e-02, 3.002833274231539e-02, 5.843968588392737e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.044680079942481e+05, 7.443733792356565e-01, 8.370896660764258e-01, 1.629103339235742e-01, 3.653407888793049e+03, 2.950696068776909e+02, 3.198982144705951e+02, 0.000000000000000e+00, 7.940625566414655e-02, 1.820243185955115e-05, inf, inf, -1.231754882081990e+14, 3.049603792812016e-01
4, -7.271125742234572e-06, 3.799988462205904e-02, 3.514803108924812e-02, 3.840958788713159e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.377485868855847e+05, 8.273907253720748e-01, 9.014860656627507e-01, 9.851393433724941e-02, 3.745319726919557e+03, 2.946273970266244e+02, 3.183476008009166e+02, 0.000000000000000e+00, 8.196537580456731e-02, 1.810192732129961e-05, inf, inf, -3.591792713555180e+13, 2.902192944858263e-01
5, -1.029896106211455e-05, 3.799983657648576e-02, 3.929942781078347e-02, 2.422921510530176e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.063182447402700e+04, 8.860408741728557e-01, 9.419274909025211e-01, 5.807250909747883e-02, 3.857694503712817e+03, 2.944255068795697e+02, 3.170645936392248e+02, 0.000000000000000e+00, 8.509424973885955e-02, 1.803460714373234e-05, inf, inf, -1.084221091370551e+13, 2.779907825914373e-01
6, -1.396714289076943e-05, 3.799977836991893e-02, 4.261568405589134e-02, 1.447922183477072e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.833715453534176e+04, 9.304056302228355e-01, 9.671401796845345e-01, 3.285982031546553e-02, 3.975600599039731e+03, 2.943154841945437e+02, 3.161153127904981e+02, 0.000000000000000e+00, 8.837713330837500e-02, 1.799017721786719e-05, inf, inf, -3.348048543337743e+12, 2.673109464182540e-01
7, -1.839628326472183e-05, 3.799970808849144e-02, 4.527357539410364e-02, 8.159076272900983e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.751399029643097e+04, 9.650055552846512e-01, 9.822973144022602e-01, 1.770268559773976e-02, 4.096416524462653e+03, 2.942477405858246e+02, 3.154108539223671e+02, 0.000000000000000e+00, 9.174103587343753e-02, 1.796220582616530e-05, inf, inf, -1.093464071011258e+12, 2.577190665122323e-01
8, -2.373781538707548e-05, 3.799962332926713e-02, 4.744294653030223e-02, 4.356300543170047e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.510905126880937e+04, 9.925430237134623e-01, 9.909013574464337e-01, 9.098642553566409e-03, 4.218786863687598e+03, 2.942012524918759e+02, 3.148647698573768e+02, 0.000000000000000e+00, 9.514821830046770e-02, 1.794560800325777e-05, inf, inf, -4.050006163860950e+11, 2.488589386726580e-01
9, -3.018125331358725e-05, 3.799952108504429e-02, 4.925975149695015e-02, 2.260153270566203e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.840643146200405e+04, 1.014701079171505e+00, 9.954327205262792e-01, 4.567279473720810e-03, 4.340307324085444e+03, 2.941663105917598e+02, 3.144128022715449e+02, 0.000000000000000e+00, 9.853173737718648e-02, 1.793634706797449e-05, inf, inf, -1.792977413941610e+11, 2.403552378301650e-01
