"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.948053776,      0.2408722893,      0.5359158361,       3.514470268
          0,           0,           1,      -2.396315214,      0.2462457618,      0.3024925818,       3.063801988
          0,           0,           2,      -2.650152094,     -0.2469805473,     -0.2341788733,       2.812415261
          0,           0,           3,      -3.093498527,     -0.4679997737,     -0.4739549268,       2.368879567
          0,           0,           4,      -3.355457991,     -0.6327668333,     -0.6772955722,       2.107315771
          0,           0,           5,      -3.566998158,     -0.7591414395,     -0.8151874041,       1.898000538
          0,           0,           6,      -3.736629174,     -0.8688420332,     -0.9537490839,       1.731415546
          0,           0,           7,      -3.908408867,     -0.9707032801,      -1.092246873,       1.563596746
          0,           0,           8,      -4.065941342,      -1.081693803,      -1.220719337,       1.409498819
          0,           0,           9,      -4.195162012,      -1.201974087,       -1.34712842,        1.28155822
          0,           0,          10,      -4.307833827,      -1.320752734,       -1.47770887,       1.168948371
          0,           0,          11,      -4.436944184,      -1.436411984,      -1.607621393,       1.041263631
          0,           0,          12,      -4.581040066,       -1.55683994,      -1.739763122,      0.8998875269
          0,           0,          13,      -4.729154078,       -1.68415692,      -1.879984253,      0.7544430555
          0,           0,          14,      -4.875058788,      -1.814766427,      -2.027290244,      0.6104298763
          0,           0,          15,      -5.016973313,      -1.945304855,      -2.178369993,      0.4698452767
          0,           0,          16,      -5.155546078,      -2.071773287,      -2.328875836,      0.3328034341
          0,           0,          17,      -5.288859877,      -2.190745258,      -2.472479148,      0.2010463876
          0,           0,          18,      -5.414754783,      -2.302086493,      -2.605511851,     0.07640287612
          0,           0,          19,      -5.535257064,      -2.407437593,      -2.732843133,    -0.04254307386
          0,           0,          20,      -5.653019937,      -2.508351725,      -2.862984361,     -0.1578462725
          0,           0,          21,      -5.768404281,      -2.605630515,      -2.996547528,     -0.2700949018
          0,           0,          22,      -5.879443866,      -2.698902451,      -3.126176924,     -0.3779001401
          0,           0,          23,      -5.982155991,      -2.786387203,      -3.247790624,     -0.4777698606
          0,           0,          24,      -6.073211729,      -2.866004138,      -3.363255772,      -0.566589484
          0,           0,          25,      -6.151817449,      -2.936589928,       -3.47259995,      -0.643541436
          0,           0,          26,      -6.219084099,      -2.998298986,      -3.571326379,     -0.7096734478
          0,           0,          27,      -6.276492889,      -3.052309967,      -3.654109314,     -0.7664964847
          0,           0,          28,      -6.325968986,      -3.100327936,      -3.719324586,     -0.8158854228
          0,           0,          29,      -6.369813539,      -3.144095092,      -3.769646732,     -0.8599830056
          0,           0,          30,      -6.410081915,      -3.185065217,      -3.809699203,     -0.9007072895
          0,           0,          31,      -6.448153151,      -3.224264962,      -3.843618242,     -0.9393717234
          0,           0,          32,      -6.484577424,      -3.262343574,      -3.873986438,     -0.9765389072
          0,           0,          33,      -6.519565284,      -3.299701151,      -3.901863972,      -1.012443786
          0,           0,          34,      -6.553400729,       -3.33662387,      -3.927622145,      -1.047351369
          0,           0,          35,      -6.586549398,      -3.373365678,      -3.951683119,      -1.081676738
          0,           0,          36,      -6.619573117,      -3.410170783,      -3.974749301,      -1.115913116
          0,           0,          37,      -6.652943777,      -3.447265145,      -3.997648299,      -1.150482904
          0,           0,          38,      -6.686984507,      -3.484834197,      -4.021098244,       -1.18567802
          0,           0,          39,      -6.721804167,      -3.523001917,      -4.045572251,      -1.221587744
          0,           0,          40,      -6.757514189,      -3.561841291,      -4.071293252,      -1.258340524
          0,           0,          41,      -6.794072922,      -3.601376158,      -4.098291922,      -1.295902402
          0,           0,          42,      -6.831432489,      -3.641598943,      -4.126444501,      -1.334231697
          0,           0,          43,      -6.869522933,      -3.682489058,      -4.155634228,      -1.373266577
          0,           0,          44,      -6.908318058,      -3.724027281,      -4.185763091,      -1.412987103
          0,           0,          45,      -6.947788794,      -3.766198437,      -4.216808592,       -1.45336308
          0,           0,          46,      -6.988000818,      -3.808996349,      -4.248798049,      -1.494454765
          0,           0,          47,        -7.0289621,      -3.852422749,      -4.281773571,      -1.536267032
          0,           0,          48,      -7.070676562,      -3.896483722,      -4.315753997,      -1.578804749
          0,           0,          49,      -7.113167235,       -3.94117879,       -4.35075697,      -1.622086208
          0,           0,          50,       -7.15641935,       -3.98651206,       -4.38677268,      -1.666099814
          0,           0,          51,      -7.200421297,      -4.032479752,      -4.423786464,      -1.710834633
          0,           0,          52,      -7.245185415,      -4.079080966,      -4.461774981,      -1.756305408
          0,           0,          53,      -7.290733217,      -4.126310649,      -4.500709379,      -1.802532193
          0,           0,          54,        -7.3369837,      -4.174165366,      -4.540565771,      -1.849440492
          0,           0,          55,      -7.383901731,      -4.222631698,      -4.581318704,       -1.89699666
          0,           0,          56,      -7.431520779,      -4.271704433,      -4.622947295,      -1.945233363
          0,           0,          57,      -7.479813326,       -4.32137485,       -4.66542756,      -1.994124837
          0,           0,          58,       -7.52877713,      -4.371635145,      -4.708736675,      -2.043668724
          0,           0,          59,      -7.578383936,      -4.422476978,      -4.752862467,       -2.09383906
          0,           0,          60,      -7.628638284,      -4.473889057,      -4.797781946,      -2.144641523
          0,           0,          61,      -7.679508821,      -4.525862422,      -4.843476795,      -2.196045119
          0,           0,          62,      -7.730997599,      -4.578387504,      -4.889930023,      -2.248054312
          0,           0,          63,       -7.78308672,       -4.63145293,      -4.937121036,      -2.300648949
          0,           0,          64,      -7.835745539,      -4.685047335,      -4.985028741,       -2.35380227
          0,           0,          65,      -7.888991884,       -4.73916428,      -5.033652318,      -2.407529268
          0,           0,          66,      -7.942792477,      -4.793790889,      -5.082977533,      -2.461797931
          0,           0,          67,      -7.997144176,      -4.848916463,      -5.132989688,        -2.5166049
          0,           0,          68,      -8.052038871,      -4.904528146,      -5.183668824,      -2.571941472
