"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,      -3.359894187,      -6.359459676,       0.255889303,      -1.672242382,       3.618012187,      0.5704076846
          0,           0,           1,      -3.360514762,      -6.360080251,       0.251788925,      -1.516716597,       3.617367022,      0.5697871099
          0,           0,           2,      -3.361134889,      -6.360700379,      0.2471721474,      -1.389328077,       3.616719793,       0.569166984
          0,           0,           3,      -3.361755754,      -6.361321245,      0.2419580202,      -1.280523055,       3.616069054,      0.5685461268
          0,           0,           4,       -3.36237868,      -6.361944171,      0.2360533874,       -1.18462081,       3.615413183,       0.567923231
          0,           0,           5,      -3.362999615,      -6.362565107,       0.229356579,      -1.098156219,       3.614756167,      0.5673024034
          0,           0,           6,      -3.363622257,      -6.363187749,      0.2217404161,       -1.01884281,       3.614093893,      0.5666801133
          0,           0,           7,      -3.364247654,      -6.363813145,      0.2130598245,     -0.9450879125,       3.613424972,      0.5660557887
          0,           0,           8,      -3.364876438,       -6.36444193,      0.2031454414,     -0.8757674609,       3.612748421,      0.5654300785
          0,           0,           9,      -3.365510346,      -6.365075839,      0.1917971173,      -0.810110715,        3.61206212,      0.5648045513
          0,           0,          10,      -3.366145026,      -6.365710518,      0.1787860862,     -0.7475208903,        3.61137034,      0.5641917005
          0,           0,          11,      -3.366784002,      -6.366349495,       0.163829757,     -0.6875191452,       3.610669051,      0.5636072668
          0,           0,          12,      -3.367429907,      -6.366995401,      0.1465929257,     -0.6297601919,       3.609955116,      0.5630925044
          0,           0,          13,      -3.368084788,      -6.367650282,      0.1266760845,      -0.574009024,       3.609226035,      0.5627417526
          0,           0,          14,      -3.368741552,      -6.368307046,      0.1036136859,     -0.5200202926,       3.608489017,      0.5627663688
          0,           0,          15,       -3.36941084,      -6.368976334,     0.07682133992,     -0.4676541246,       3.607732502,      0.5635739017
          0,           0,          16,       -3.37009369,      -6.369659184,     0.04563084494,      -0.416802596,       3.606954989,      0.5659898773
          0,           0,          17,       -3.37078335,      -6.370348845,    0.009307413664,     -0.3673459251,       3.606163479,       0.571595852
          0,           0,          18,      -3.371492192,      -6.371057687,    -0.03291203301,     -0.3192643832,       3.605344728,      0.5832594697
          0,           0,          19,      -3.372213904,      -6.371779399,     -0.0814433938,     -0.2724842182,       3.604505057,       0.605961111
