"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
1270, 1.718928253535182e+00, -1.574556777743142e+01, 5.473325146506325e-05, 1.386498421471829e-01, 8.322557140432111e-04, 1.880807057070502e+02, 4.984413346024080e+00, 3.172438027385865e+02, 7.094642826404402e+00, 1.759802524031527e-03, 1.926393486314550e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1271, 1.724108744322861e+00, -1.574553703864251e+01, 5.474492428015217e-05, 1.386817942230351e-01, 8.311666926917675e-04, 1.881222183302395e+02, 4.983630269846577e+00, 3.171263294665898e+02, 7.096078260429044e+00, 1.756019242612694e-03, 1.925852618863780e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1272, 1.729289235289850e+00, -1.574550633115485e+01, 5.474869783802966e-05, 1.386932755302276e-01, 8.288590567010021e-04, 1.881363995646052e+02, 4.982526172915946e+00, 3.170342186931887e+02, 7.097206653489195e+00, 1.750685011381750e-03, 1.925428455496018e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1273, 1.734469726431444e+00, -1.574547565488182e+01, 5.475157950572273e-05, 1.387021971876085e-01, 8.277597504605467e-04, 1.881474796871552e+02, 4.981623205109553e+00, 3.169600805423271e+02, 7.098119270767322e+00, 1.746322496696875e-03, 1.925087010485684e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1274, 1.739650217745324e+00, -1.574544500973434e+01, 5.476649849067339e-05, 1.387420632250705e-01, 8.290191992872993e-04, 1.881999818606658e+02, 4.981368909257114e+00, 3.168575618115921e+02, 7.099373793766078e+00, 1.745093915364612e-03, 1.924614792994710e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1275, 1.744830709231360e+00, -1.574541439562083e+01, 5.478063791145448e-05, 1.387804953129468e-01, 8.287305471057890e-04, 1.882500953962860e+02, 4.980620904706899e+00, 3.167282105718857e+02, 7.100956828781366e+00, 1.741480075744237e-03, 1.924018872956307e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1276, 1.750011200891337e+00, -1.574538381244737e+01, 5.480413127090112e-05, 1.388430892565549e-01, 8.284695528289899e-04, 1.883326583802013e+02, 4.980375154869509e+00, 3.165768149068790e+02, 7.102811737011374e+00, 1.740292782834314e-03, 1.923321241646033e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1277, 1.755191692739442e+00, -1.574535326010818e+01, 5.481529446873346e-05, 1.388737471609201e-01, 8.269784530727899e-04, 1.883724384235122e+02, 4.979558472892377e+00, 3.164604419761395e+02, 7.104238652523676e+00, 1.736347141480452e-03, 1.922784883037990e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1278, 1.760372184787339e+00, -1.574532273834619e+01, 5.481859364504794e-05, 1.388838769456702e-01, 8.255679840288382e-04, 1.883848973193014e+02, 4.978520393649969e+00, 3.163754283244708e+02, 7.105283258419385e+00, 1.731331861968821e-03, 1.922392996601513e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1279, 1.765552677028994e+00, -1.574529224679676e+01, 5.483129545473314e-05, 1.389182919818694e-01, 8.251890359216124e-04, 1.884298857795980e+02, 4.977948027462753e+00, 3.162657747999094e+02, 7.106629046353667e+00, 1.728566585201282e-03, 1.921887451190060e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1280, 1.770733169461460e+00, -1.574526178511333e+01, 5.484912437138922e-05, 1.389659821176772e-01, 8.253530840937574e-04, 1.884926674541241e+02, 4.977618667839233e+00, 3.161420528835854e+02, 7.108148335466539e+00, 1.726975347746261e-03, 1.921316941037203e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1281, 1.775913662080050e+00, -1.574523135297030e+01, 5.487914786574146e-05, 1.390453366050659e-01, 8.261683644610662e-04, 1.885977890516094e+02, 4.977787638355502e+00, 3.159798225830372e+02, 7.110141011317261e+00, 1.727791696184504e-03, 1.920568692737796e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1282, 1.781094154879097e+00, -1.574520095006236e+01, 5.489071768486166e-05, 1.390773450958762e-01, 8.238985347540789e-04, 1.886391582996921e+02, 4.976764360070784e+00, 3.158482786924351e+02, 7.111758501536675e+00, 1.722847924643383e-03, 1.919961838820400e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1283, 1.786274647852667e+00, -1.574517057610378e+01, 5.490275434497594e-05, 1.391101021614196e-01, 8.229301766645608e-04, 1.886819515315814e+02, 4.976143537421144e+00, 3.157396417668891e+02, 7.113097060976346e+00, 1.719848539829683e-03, 1.919460567924449e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1284, 1.791455140995162e+00, -1.574514023082786e+01, 5.491676868489441e-05, 1.391478683119907e-01, 8.227190761632680e-04, 1.887314660746379e+02, 4.975669334638703e+00, 3.156289866159654e+02, 7.114459107568724e+00, 1.717557520606892e-03, 1.918949896998437e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1285, 1.796635634301757e+00, -1.574510991398635e+01, 5.493368154113611e-05, 1.391932658067808e-01, 8.219581131387913e-04, 1.887911225190529e+02, 4.975242529086016e+00, 3.155047456335220e+02, 7.115989487350993e+00, 1.715495491952051e-03, 1.918376422420974e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1286, 1.801816127805286e+00, -1.574507962534876e+01, 5.494147438342911e-05, 1.392149016567247e-01, 8.213183272682544e-04, 1.888190765064269e+02, 4.974506120232987e+00, 3.154133020592318e+02, 7.117117326910757e+00, 1.711937674704673e-03, 1.917954263692510e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1287, 1.806996621411616e+00, -1.574504936470290e+01, 5.496534531941605e-05, 1.392782957486437e-01, 8.215571598851550e-04, 1.889028717709824e+02, 4.974423526986589e+00, 3.152710863795587e+02, 7.118870975960947e+00, 1.711538641375101e-03, 1.917297590211416e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1288, 1.812177115180881e+00, -1.574501913185286e+01, 5.498596872299993e-05, 1.393332612811714e-01, 8.213696830084296e-04, 1.889754500991926e+02, 4.974229104243124e+00, 3.151405211225202e+02, 7.120483724993832e+00, 1.710599325413405e-03, 1.916694583196738e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1289, 1.817357609110834e+00, -1.574498892661987e+01, 5.500635614363664e-05, 1.393874806959637e-01, 8.219860951684176e-04, 1.890470886912974e+02, 4.974107128498813e+00, 3.150159933485361e+02, 7.122021768982696e+00, 1.710010023145939e-03, 1.916119345003779e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1290, 1.822538103199849e+00, -1.574495874884173e+01, 5.502039835597879e-05, 1.394256768989042e-01, 8.204646940096214e-04, 1.890968871190563e+02, 4.973353934838076e+00, 3.148879070463051e+02, 7.123603099880690e+00, 1.706371113339572e-03, 1.915527551612216e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1291, 1.827718597446845e+00, -1.574492859837249e+01, 5.503052089548109e-05, 1.394534065646000e-01, 8.190388660457213e-04, 1.891329642392946e+02, 4.972686544808647e+00, 3.147877372470572e+02, 7.124842135673339e+00, 1.703146747217868e-03, 1.915064657245209e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
