"PointID","x","y","z","Density_0","Density_1","Momentum_x","Momentum_y","Momentum_z","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient"
126, 1.295000000000000e+00, 3.352697431866700e-01, 0.000000000000000e+00, 1.411575523273193e-04, 1.265283817942121e-04, 1.193637788543131e+00, 1.889832125422148e-01, -1.339453872035338e-03, 8.071284763902499e+03, 5.275625440612587e+02, 5.273252507292098e-01, 4.726747492707902e-01, 3.037455067572128e+02, 2.596027300241375e+03, 8.665451373730320e+03, 3.417243813242367e+00, 3.593604371559136e-02
127, 1.161892334304097e+00, 3.141875604517181e-01, 0.000000000000000e+00, 1.424147039734808e-04, 1.288032735095666e-04, 1.204484315225604e+00, 1.907072793294266e-01, -1.430156897515255e-03, 8.172402412660567e+03, 5.315210694126566e+02, 5.250931567852375e-01, 4.749068432147626e-01, 3.079013524391152e+02, 2.593345128359628e+03, 8.643801456235815e+03, 3.401915483852929e+00, 3.646193089297985e-02
128, 1.043936264910732e+00, 2.955051547717263e-01, 0.000000000000000e+00, 1.452019733308210e-04, 1.334849398752111e-04, 1.228168387951398e+00, 1.944697582749278e-01, -1.608495042682412e-03, 8.387109661374949e+03, 5.405086649887998e+02, 5.210218580428059e-01, 4.789781419571941e-01, 3.171179258329946e+02, 2.592234259997496e+03, 8.604184393864125e+03, 3.370731959863241e+00, 3.762821042746977e-02
129, 9.394022207746211e-01, 2.789485890098729e-01, 0.000000000000000e+00, 1.483288767646089e-04, 1.381424245861301e-04, 1.253811688711522e+00, 1.985432977628658e-01, -1.776445395484268e-03, 8.610338046430978e+03, 5.505865379967734e+02, 5.177791843902839e-01, 4.822208156097161e-01, 3.274446508029018e+02, 2.598218411052692e+03, 8.569761924515478e+03, 3.339156718046823e+00, 3.893497026933323e-02
130, 8.467574358675809e-01, 2.642750968812325e-01, 0.000000000000000e+00, 1.518741701622440e-04, 1.428778803447838e-04, 1.282043411304701e+00, 2.030316581281728e-01, -1.933260479138251e-03, 8.847391291633256e+03, 5.621185196756803e+02, 5.152607756281675e-01, 4.847392243718324e-01, 3.391794514416897e+02, 2.611285162611618e+03, 8.540377022960456e+03, 3.306588269726471e+00, 4.041991019672818e-02
131, 7.646434744745524e-01, 2.512695233094326e-01, 0.000000000000000e+00, 1.559681208562933e-04, 1.478283804811591e-04, 1.313844238197569e+00, 2.080917358020735e-01, -2.074404266945768e-03, 9.106017541366062e+03, 5.756321218100029e+02, 5.133966986770737e-01, 4.866033013229263e-01, 3.528068723084791e+02, 2.632030756527914e+03, 8.515907669119770e+03, 3.272171212846319e+00, 4.214434523191946e-02
132, 6.918563126672260e-01, 2.397411696420615e-01, 0.000000000000000e+00, 1.606726377722289e-04, 1.530798584218656e-04, 1.349678265992166e+00, 2.137950663694685e-01, -2.198571450257318e-03, 9.390485812015391e+03, 5.913926229354387e+02, 5.120999505063158e-01, 4.879000494936841e-01, 3.686120855689338e+02, 2.660359985284121e+03, 8.496042790904175e+03, 3.235614817121144e+00, 4.414436150436169e-02
133, 6.273286838930814e-01, 2.295209974667221e-01, 0.000000000000000e+00, 1.659102257675218e-04, 1.586082682727932e-04, 1.388984004221610e+00, 2.200481174558227e-01, -2.308351457807483e-03, 9.697861437387468e+03, 6.091473538935728e+02, 5.112504489402405e-01, 4.887495510597595e-01, 3.864262062001867e+02, 2.694866529528057e+03, 8.480182656366378e+03, 3.197560198485396e+00, 4.639858804054509e-02
134, 5.701144298160306e-01, 2.204591500277321e-01, 0.000000000000000e+00, 1.714799521126570e-04, 1.642862042181525e-04, 1.430307488213885e+00, 2.266151236669145e-01, -2.405926694056855e-03, 1.001868794805115e+04, 6.281847514108812e+02, 5.107124374492006e-01, 4.892875625507995e-01, 4.056432499227780e+02, 2.733131682081152e+03, 8.467526819370687e+03, 3.159324123618316e+00, 4.883034264708248e-02
135, 5.193746269475402e-01, 2.124227549004011e-01, 0.000000000000000e+00, 1.771303751229876e-04, 1.699375593189575e-04, 1.471848612832775e+00, 2.332068434887200e-01, -2.492834137789160e-03, 1.034068924408509e+04, 6.476008808388405e+02, 5.103622592153255e-01, 4.896377407846744e-01, 4.254369183897342e+02, 2.772501571212875e+03, 8.457251760724466e+03, 3.122346144466651e+00, 5.133506424576468e-02
136, 4.743652856452280e-01, 2.052939757038445e-01, 0.000000000000000e+00, 1.826388804174802e-04, 1.754004288371935e-04, 1.512040195389047e+00, 2.395744712335602e-01, -2.574937800904070e-03, 1.065287146965372e+04, 6.665896377240256e+02, 5.101084593132453e-01, 4.898915406867546e-01, 4.450262677984025e+02, 2.810813727372713e+03, 8.448667969251983e+03, 3.087723449641288e+00, 5.381393099297403e-02
137, 4.344264411113166e-01, 1.989682842849117e-01, 0.000000000000000e+00, 1.878626195821516e-04, 1.805687669761797e-04, 1.549906225675912e+00, 2.455671791050820e-01, -2.665529403723722e-03, 1.094817362736234e+04, 6.846300502363293e+02, 5.098985223193210e-01, 4.901014776806791e-01, 4.638693998397096e+02, 2.846787453177376e+03, 8.441303596750367e+03, 3.056007081866995e+00, 5.619837023370767e-02
