VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_N2]"  ,   "rms[Rho_N]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
          1,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
          2,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
          3,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
          4,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
          5,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
          6,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
          7,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
          8,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
          9,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         10,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         11,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         12,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         13,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         14,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         15,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         16,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         17,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         18,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         19,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         20,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         21,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         22,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         23,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         24,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         25,           0,           0,               -32,               -32,       4.005716612,       4.005716612,               -32,               -32
         26,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         27,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         28,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         29,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         30,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         31,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         32,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         33,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         34,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         35,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         36,           0,           0,               -32,               -32,       4.005716611,       4.005716611,               -32,               -32
         37,           0,           0,               -32,               -32,        4.00571661,        4.00571661,               -32,               -32
         38,           0,           0,               -32,               -32,        4.00571661,        4.00571661,               -32,               -32
         39,           0,           0,               -32,               -32,        4.00571661,        4.00571661,               -32,               -32
         40,           0,           0,               -32,               -32,        4.00571661,        4.00571661,               -32,               -32
         41,           0,           0,               -32,               -32,        4.00571661,        4.00571661,               -32,               -32
         42,           0,           0,               -32,               -32,        4.00571661,        4.00571661,               -32,               -32
         43,           0,           0,               -32,               -32,        4.00571661,        4.00571661,               -32,               -32
         44,           0,           0,               -32,               -32,        4.00571661,        4.00571661,               -32,               -32
         45,           0,           0,               -32,               -32,        4.00571661,        4.00571661,               -32,               -32
